Region,Company,Code,Focus,MERFISH_Relevance
Korean,씨티씨엔씨,299660,"화장품 OEM/ODM, 천연抽出물",TBD
Korean,제ougou아이엔지,058110,"화장품 원료, 功能성原料",TBD
Korean,보령제약,041530,"바이오/화장품 원료, 분자생물학",TBD
Korean,휴마론,086900,"줄기세포, 재생의학, 피부과학",TBD
Korean,시지바이오,348370,CBD/대마-derived 피부кан양제,TBD
Korean,레고켐바이오,271940,"바이오 原料, 세포보호",TBD
Korean,알테어인사이언스,288330,"안면 Ridom, 필러",TBD
Korean,제테마,053800,"干細包, 피부재생",TBD
Korean,에이비드,334890,아토피/피부면역，治疗制剂,TBD
Korean,신테카바이오,328130,"조직공학, 피부再生",TBD
US,ALnylam Pharmaceuticals,ALYN,RNAi — 피부유전질환,TBD
US,Ligand Pharmaceuticals,LGND,Captisol technology — 약물전달,TBD
US,Regeneron,REGN,"Antibody — 피부염,乾癬",TBD
US,Cutera,CUTR,"미용기기 — 레이저, RF",TBD
US,Veeva Systems,V,Life Sciences SaaS — 피부과 MR 관리,TBD
US,Ginkgo Bioworks,DNA,합성생물학 — 향료/피부원료,TBD
US,Beam Therapeutics,BEAM,Base editing — 피부유전질환,TBD
US,Immatics,IMTX,T细胞 therapy — 피부암,TBD
EU,BASF,BAS.DE,화장품 원료 세계 最大手,TBD
EU,DSM-Firmenich,DSFIR.SW,"피부과학, 영양, 향료",TBD
EU,Evonik,EVK.DE,특수화학 — 피부 delivery systems,TBD
EU,L'Oréal,OR.PA,"세계 最大 뷰티그룹, R&D 최고",TBD
EU,Merz Pharma,MERZ.DE,안면注射制剂 — 보툴리늄,TBD
